Locomotion,Assessment
act*,accura*
can/'t wait,alternat*
chang*,assess*
dare*,calculat*
do it,careful*
doer*,compar*
done,consider*
drive*,consult*
dynami*,correct*
elimin*,criti*
fast*,detail*
flow*,evaluat*
get*,examin*
go,exhaustive
going,judg*
hurr*,methodical
initiat*,meticulous
launch*,observ*
lead*,perfect*
make*,ponder*
mobil*,procrastinat*
momentum,question*
motion,reconsider*
mov*,reflect*
obstacle*,regret*
proceed*,review*
quick*,right
reduc*,ruminat*
reject*,think*
remov*,thorough*
smooth*,thought*
speed*,true*
start*,truth*
urg*,unsure
